No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
70,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(N)c2[nH]ccc12,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)c2[nH]ccc12,polyamide,0.380 
71,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc2ccc(N)cc2c1,*Nc1ccc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2c1,polyamide,0.379 
72,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,polyurethane,0.377 
73,O=C(O)c1ccc(C(=O)O)[nH]1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)[nH]3)cc2)cc1,polyamide,0.376 
74,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.376 
75,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.375 
76,O=C=Nc1ccc(Oc2ccc(N=C=O)cc2)cc1,Oc1ccc(C=Nc2ccc(N=Cc3ccc(O)cc3)cc2)cc1,*Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)Nc4ccc(Oc5ccc(NC(*)=O)cc5)cc4)cc3)cc2)cc1,polyurethane,0.374 
77,O=C(Cl)c1cncc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4cncc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.374 
78,O=C=NC1CCC(N=C=O)CC1,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NC1CCC(NC(*)=O)CC1,polyurethane,0.373 
79,O=C(Cl)c1cccc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4cccc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.373 
80,O=C(O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(C=Nc3ccc(N=Cc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.373 
81,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.372 
82,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.372 
83,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc1=2,polyamide,0.371 
84,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2cc3cc(C(*)=O)ccc3[nH]2)cc1,polyamide,0.371 
85,O=C(O)CNc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(NCC(*)=O)cc4)cc3)cc2)cc1,polyamide,0.371 
86,O=C=Nc1ccc(N=C=O)cc1,O=C(Nc1ccc(O)cc1)c1ccc(O)cc1,*Oc1ccc(C(=O)Nc2ccc(OC(=O)Nc3ccc(NC(*)=O)cc3)cc2)cc1,polyurethane,0.369 
